eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-223	0	0.49504	6960.05	0.549143	0.00247715	-0.1	0.00233728	0.000335351	0.134259	0.0129503	0.134259	0	0	1.08532	0.979666	0.0267419	-1.07954	0.0252319	0.0247572	-0.999421	0.0233593
0	-13	Box-222	0	2.55704	6864.05	3.8346	0.0011362	-0.1	0.00378189	0.000335627	0.456348	0.0448686	0.456348	0	0	1.0209	0.915244	0.0115282	-1.01463	0.0383721	0.0113531	-0.999221	0.0377894
0	-13	Box-221	0	3.28164	6768.05	8.36933	-0.000935759	-0.1	0.00415726	0.000335931	0.778773	0.0789976	0.778773	0	0	0.954907	0.849248	-0.00887271	-0.948183	0.0394185	-0.00934911	-0.999093	0.0415349
0	-13	Box-220	0	2.6132	6672.05	13.6002	-0.000189773	-0.1	0.00851918	0.000337242	1.10167	0.116019	1.10167	0	0	0.874976	0.769318	-0.00164236	-0.865437	0.0737281	-0.00189088	-0.996389	0.0848842
0	-13	Box-219	0	3.2785	6576.05	21.0248	0.00311338	-0.1	0.0069649	0.000337447	1.42546	0.156463	1.42546	0	0	0.805998	0.70034	0.0248052	-0.796727	0.0554912	0.0310436	-0.997102	0.0694472
0	-13	Box-218	0	8.13824	6480.05	28.6267	0.00625113	-0.1	0.00842498	0.000338913	1.7502	0.20084	1.7502	0	0	0.735187	0.629528	0.0452322	-0.723584	0.0609617	0.0621702	-0.994542	0.0837899
0	-13	Box-217	0	20.2233	6384.05	37.7112	0.0150803	-0.1	-0.000840886	0.000341774	2.07901	0.250512	2.07901	0	0	0.658669	0.553011	0.0969434	-0.642848	-0.00540562	0.149112	-0.988785	-0.00831456
0	-13	Box-216	0	35.0304	6288.05	41.5919	0.0174623	-0.1	0.0100279	0.00034599	2.40837	0.306033	2.40837	0	0	0.583132	0.477473	0.0981722	-0.562194	0.0563763	0.171187	-0.980322	0.0983057
0	-13	Box-215	0	50.1948	6192.05	55.9534	0.010265	-0.1	0.0206099	0.000349943	2.7428	0.370642	2.7428	0	0	0.508119	0.402461	0.0497173	-0.48434	0.0998221	0.100032	-0.974502	0.200844
0	-13	Box-214	0	62.2975	6096.05	80.0438	0.0163074	-0.1	0.0286054	0.000361947	3.08411	0.446005	3.08411	0	0	0.436504	0.330846	0.0655831	-0.402294	0.115025	0.154851	-0.949873	0.271592
0	-13	Box-213	0	81.2025	6000.05	108.754	0.0166449	-0.1	0.0309596	0.000368912	3.43651	0.537119	3.43651	0	0	0.370288	0.26463	0.0557291	-0.334812	0.103656	0.157031	-0.943415	0.292078
0	-13	Box-212	0	97.9676	5904.05	136.359	0.0217887	-0.1	0.0283388	0.000377652	3.79226	0.647127	3.79226	0	0	0.304846	0.199187	0.0586688	-0.269263	0.076306	0.205172	-0.941645	0.266851
0	-13	Box-211	0	121.147	5808.05	169.095	0.0284957	-0.1	0.0425879	0.000419122	4.16979	0.793514	4.16979	0	7.30133e-08	0.236114	0.130455	0.0535489	-0.187919	0.0800307	0.253601	-0.889963	0.379016
0	-13	Box-210	0	148.641	5712.05	229.212	0.0182447	-0.1	0.105356	0.000710901	4.66318	1.07947	4.66318	0	3.06414e-08	0.145395	0.0397364	0.0124528	-0.0682275	0.0718741	0.124678	-0.683097	0.719606
