eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-224	0	0.161459	7056.05	0.159928	0.000214815	-0.1	-0.000153566	0.000333603	9.82138	0.146068	9.82138	0	0	7.03103	6.92537	0.0151019	-7.03021	-0.010796	0.00214814	-0.999997	-0.00153565
0	-13	Box-223	0	0.303945	6960.05	0.24324	3.422e-05	-0.1	0.000160199	0.000333603	10.1416	0.150901	10.1416	0	0	6.96328	6.85762	0.00238256	-6.96246	0.0111538	0.0003422	-0.999999	0.00160199
0	-13	Box-222	0	0.159331	6864.05	1.02631	-0.000416674	-0.1	0.00156406	0.000333647	10.4619	0.155788	10.4619	0	0	6.88276	6.77711	-0.0286716	-6.88105	0.107624	-0.0041662	-0.999869	0.0156385
0	-13	Box-221	0	-0.0890393	6768.05	2.57883	-0.000223003	-0.1	0.0014808	0.000333642	10.7822	0.160718	10.7822	0	2.20063e-08	6.82136	6.7157	-0.0152083	-6.81978	0.100987	-0.00222978	-0.999888	0.0148063
0	-13	Box-220	0	-0.909769	6672.05	4.5788	-0.0015038	-0.1	0.00274274	0.000333768	11.1026	0.165702	11.1026	0	0	6.74726	6.64161	-0.101404	-6.74314	0.184947	-0.0150307	-0.999511	0.027414
0	-13	Box-219	0	-2.14088	6576.05	7.27842	-0.00103844	-0.1	0.00312694	0.000333787	11.423	0.170746	11.423	0	0	6.66599	6.56033	-0.0691762	-6.66154	0.208302	-0.0103788	-0.999458	0.0312524
0	-13	Box-218	0	-3.06122	6480.05	10.0291	-0.000813326	-0.1	0.00252967	0.000333725	11.7434	0.175851	11.7434	0	0	6.59083	6.48517	-0.0535791	-6.58766	0.166646	-0.00813039	-0.999647	0.0252877
0	-13	Box-217	0	-3.78323	6384.05	12.944	-0.000711916	-0.1	0.00357122	0.000333829	12.0638	0.181008	12.0638	0	4.84028e-08	6.52571	6.42005	-0.0464207	-6.52053	0.232863	-0.00711444	-0.999338	0.0356886
0	-13	Box-216	0	-4.57019	6288.05	16.9658	-0.000927652	-0.1	0.004707	0.000333993	12.3844	0.186225	12.3844	0	4.01401e-08	6.45294	6.34728	-0.059784	-6.44466	0.30335	-0.00926586	-0.998851	0.0470159
0	-13	Box-215	0	-5.16295	6192.05	21.7213	-0.000251776	-0.1	0.00535247	0.000334089	12.705	0.191515	12.705	0	0	6.35719	6.25153	-0.0159808	-6.34721	0.339733	-0.00251416	-0.998567	0.0534481
0	-13	Box-214	0	-5.462	6096.05	27.1111	-0.00039254	-0.1	0.00616746	0.000334249	13.0258	0.196898	13.0258	0	0	6.19343	6.08777	-0.0242618	-6.18074	0.381195	-0.00391792	-0.998096	0.0615572
0	-13	Box-213	0	-5.65423	6000.05	33.0241	-9.94786e-06	-0.1	0.00631003	0.000334278	13.3467	0.202425	13.3467	0	0	6.0785	5.97284	-0.000603389	-6.06552	0.382736	-9.92811e-05	-0.998015	0.0629751
0	-13	Box-212	0	-5.5701	5904.05	39.3256	0.000460172	-0.1	0.00694324	0.000334422	13.6677	0.208016	13.6677	0	0	6.01747	5.91181	0.0276197	-6.00203	0.416735	0.00459062	-0.997588	0.0692649
0	-13	Box-211	0	-5.12175	5808.05	46.3389	0.000391409	-0.1	0.00778988	0.00033463	13.9888	0.213683	13.9888	0	5.9516e-08	5.94727	5.84162	0.023204	-5.92833	0.46181	0.00390224	-0.996972	0.0776629
0	-13	Box-210	0	-4.76073	5712.05	54.0798	0.000357745	-0.1	0.00811079	0.000334716	14.3101	0.219417	14.3101	0	0	5.88191	5.77625	0.0209699	-5.86168	0.475428	0.00356572	-0.996721	0.0808419
0	-13	Box-209	0	-4.47584	5616.05	61.8456	0.000188649	-0.1	0.00817402	0.000334732	14.6314	0.225216	14.6314	0	0	5.81548	5.70982	0.0109326	-5.79518	0.473699	0.00188022	-0.996674	0.0814683
0	-13	Box-208	0	-4.02283	5520.05	69.7468	0.000620071	-0.1	0.00853757	0.00033484	14.9528	0.23108	14.9528	0	0	5.75126	5.6456	0.0355259	-5.72933	0.489146	0.00617812	-0.996356	0.0850646
0	-13	Box-207	0	-3.51418	5424.05	78.2676	0.000176075	-0.1	0.00953752	0.000335136	15.2743	0.237	15.2743	0	1.84519e-08	5.69294	5.58728	0.00997682	-5.66624	0.540419	0.00175279	-0.995481	0.0949442
0	-13	Box-206	0	-3.27855	5328.05	87.6146	0.000339488	-0.1	0.00975286	0.000335208	15.5961	0.243	15.5961	0	0	5.62819	5.52253	0.0190133	-5.60059	0.546218	0.00337883	-0.995272	0.0970675
0	-13	Box-205	0	-2.89544	5232.05	97.0726	0.0006218	-0.1	0.00960439	0.000335166	15.918	0.249056	15.918	0	1.08385e-08	5.56544	5.45979	0.0344405	-5.53885	0.531972	0.0061894	-0.9954	0.0956021
0	-13	Box-204	0	-1.55412	5136.05	106.533	0.00219821	-0.1	0.00975736	0.000335291	16.2398	0.255208	16.2398	0	0	5.48441	5.37875	0.119938	-5.45617	0.532378	0.021873	-0.995035	0.0970891
0	-13	Box-203	0	0.3889	5040.05	116.011	0.00205709	-0.1	0.00994877	0.000335345	16.5617	0.261442	16.5617	0	8.35673e-08	5.40487	5.29922	0.110593	-5.37617	0.534863	0.0204656	-0.994879	0.0989782
0	-13	Box-202	0	2.44875	4944.05	125.951	0.00231353	-0.1	0.0107138	0.000335627	16.8838	0.267762	16.8838	0	0	5.34124	5.23558	0.122812	-5.3084	0.56873	0.0229976	-0.994047	0.1065
0	-13	Box-201	0	4.85784	4848.05	136.106	0.00296418	-0.1	0.0102616	0.000335529	17.206	0.274163	17.206	0	0	5.27634	5.17068	0.155484	-5.24544	0.538264	0.0294741	-0.994344	0.102035
0	-13	Box-200	0	7.63031	4752.05	146.083	0.00298508	-0.1	0.0106406	0.000335669	17.5281	0.280708	17.5281	0	0	5.03732	4.93166	0.149425	-5.00574	0.532641	0.0296702	-0.993949	0.105762
0	-13	Box-199	0	10.5583	4656.05	156.501	0.00306859	-0.1	0.0111339	0.000335857	17.8504	0.287496	17.8504	0	3.86654e-08	4.97175	4.86609	0.151521	-4.93781	0.54977	0.0304833	-0.993397	0.110604
0	-13	Box-198	0	13.7361	4560.05	167.782	0.0033565	-0.1	0.0125044	0.000336428	18.1731	0.294422	18.1731	0	0	4.86558	4.75993	0.161924	-4.82417	0.603235	0.0332872	-0.991723	0.124009
0	-13	Box-197	0	16.8957	4464.05	180.031	0.00304479	-0.1	0.0129823	0.000336598	18.4962	0.301456	18.4962	0	0	4.80254	4.69688	0.144909	-4.75925	0.617861	0.0301808	-0.991226	0.128684
0	-13	Box-196	0	19.6124	4368.05	192.855	0.0025614	-0.1	0.0132978	0.000336693	18.8195	0.308608	18.8195	0	5.31846e-08	4.73595	4.63029	0.120179	-4.69194	0.623924	0.0253823	-0.990955	0.131775
0	-13	Box-195	0	21.8158	4272.05	206.005	0.00199898	-0.1	0.0140884	0.000337011	19.1428	0.315876	19.1428	0	0	4.65407	4.54841	0.0920822	-4.60647	0.648979	0.0197904	-0.990027	0.139479
0	-13	Box-194	0	23.8085	4176.05	219.902	0.00224543	-0.1	0.0150449	0.000337493	19.4666	0.323295	19.4666	0	2.99229e-08	4.53919	4.43353	0.100738	-4.48635	0.674967	0.0221989	-0.988627	0.148738
0	-13	Box-193	0	26.2468	4080.05	234.355	0.00301802	-0.1	0.0152186	0.00033765	19.7906	0.330894	19.7906	0	1.79577e-08	4.46251	4.35685	0.13305	-4.40852	0.670916	0.0298234	-0.988177	0.150387
0	-13	Box-192	0	29.2364	3984.05	249.325	0.00286664	-0.1	0.0157907	0.000337931	20.1149	0.338646	20.1149	0	8.05777e-08	4.37664	4.27099	0.123841	-4.32009	0.682171	0.0283042	-0.987365	0.155912
0	-13	Box-191	0	31.9505	3888.05	264.63	0.00257815	-0.1	0.0161173	0.00033808	20.4394	0.346534	20.4394	0	2.21117e-07	4.30528	4.19962	0.109514	-4.24778	0.684625	0.0254448	-0.98694	0.159068
0	-13	Box-190	0	34.2899	3792.05	280.561	0.00239661	-0.1	0.0169608	0.000338528	20.7642	0.35457	20.7642	0	0	4.22491	4.11925	0.0997699	-4.16295	0.70607	0.0236221	-0.985645	0.167173
0	-13	Box-189	0	36.4993	3696.05	296.836	0.00218278	-0.1	0.0165565	0.000338292	21.0892	0.362735	21.0892	0	5.22138e-08	4.16339	4.05773	0.0896076	-4.1052	0.679678	0.0215297	-0.986341	0.163304
0	-13	Box-188	0	38.4042	3600.05	312.68	0.00194646	-0.1	0.0171472	0.000338608	21.4139	0.371057	21.4139	0	0	4.08076	3.9751	0.078247	-4.01997	0.689314	0.0191811	-0.985434	0.168975
0	-13	Box-187	0	40.055	3504.05	329.375	0.00164204	-0.1	0.0179659	0.000339067	21.7391	0.379554	21.7391	0	0	4	3.89434	0.0646156	-3.93508	0.706973	0.0161595	-0.984113	0.176805
0	-13	Box-186	0	41.575	3408.05	346.968	0.00151704	-0.1	0.0186652	0.000339485	22.0648	0.388207	22.0648	0	0	3.9359	3.83024	0.0586678	-3.86725	0.721828	0.0149112	-0.982914	0.183462
