eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-218	0	3.39524e-07	6480.05	8.47102e-07	2.60098e-07	-0.1	6.48936e-07	0.000333675	0.0669018	0.00172171	0.0669018	0	0	4.10565	3.99999	1.06752e-05	-4.10429	2.66342e-05	2.60098e-06	-1	6.48936e-06
0	-13	Box-217	0	0.139871	6384.05	0.364701	0.000705382	-0.1	0.000793786	0.000333697	0.387237	0.0100193	0.387237	0	0	4.03327	3.92761	0.0284386	-4.03166	0.0320028	0.00705342	-0.999944	0.00793742
0	-13	Box-216	0	0.925977	6288.05	1.67737	0.00121661	-0.1	0.00161339	0.000333752	0.707614	0.0184886	0.707614	0	0	3.94631	3.84066	0.0479841	-3.9441	0.0636335	0.0121636	-0.999796	0.0161306
0	-13	Box-215	0	2.10468	6192.05	3.52246	0.00158143	-0.1	0.00250772	0.000333834	1.02804	0.027123	1.02804	0	0	3.88332	3.77766	0.0613623	-3.88017	0.0973039	0.0158074	-0.999561	0.0250662
0	-13	Box-214	0	3.69433	6096.05	6.26946	0.00223087	-0.1	0.00357515	0.000333991	1.34856	0.035965	1.34856	0	0	3.77163	3.66598	0.0840326	-3.76681	0.134669	0.0222889	-0.999113	0.0357198
0	-13	Box-213	0	6.06202	6000.05	10.0758	0.00261701	-0.1	0.00420439	0.000334109	1.66926	0.0450161	1.66926	0	0	3.70263	3.59697	0.096746	-3.69659	0.155396	0.0261396	-0.998776	0.0419862
0	-13	Box-212	0	8.76548	5904.05	14.51	0.003298	-0.1	0.00518397	0.000334335	1.99009	0.0542433	1.99009	0	0	3.63093	3.52527	0.119472	-3.62256	0.187792	0.0329179	-0.998118	0.0517421
0	-13	Box-211	0	11.7049	5808.05	19.7358	0.00293389	-0.1	0.00545443	0.00033435	2.31107	0.0636607	2.31107	0	6.00716e-08	3.56089	3.45523	0.104227	-3.55252	0.193769	0.0292828	-0.998088	0.05444
0	-13	Box-210	0	14.9335	5712.05	24.9441	0.00324778	-0.1	0.00536542	0.000334372	2.63209	0.0732561	2.63209	0	0	3.49689	3.39123	0.113297	-3.48844	0.18717	0.0324141	-0.998039	0.053549
0	-13	Box-209	0	17.8253	5616.05	30.8587	0.00282666	-0.1	0.00685984	0.000334641	2.95322	0.0830495	2.95322	0	1.92576e-08	3.4226	3.31694	0.0964342	-3.41159	0.23403	0.0281891	-0.997259	0.0684103
