eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	13	Box-224	0	-0.76987	7056.05	-0.162927	-5.00744e-05	-0.1	-0.000180629	0.000333573	29.8349	0.208701	29.8349	0	5.93343e-10	15.0326	14.9269	-0.00752729	-15.0322	-0.0271525	-0.000500743	-0.999998	-0.00180629
0	13	Box-223	0	-0.807883	6960.05	-0.497193	-8.65892e-06	-0.1	-0.000629795	0.000333579	30.1551	0.210955	30.1551	0	0	14.9688	14.8631	-0.00129608	-14.9681	-0.0942683	-8.65875e-05	-0.99998	-0.00629782
0	13	Box-222	0	-0.846477	6864.05	-1.20818	-0.000115855	-0.1	-0.000802649	0.000333583	30.4753	0.213221	30.4753	0	0	14.8786	14.773	-0.0172367	-14.8778	-0.119416	-0.00115851	-0.999967	-0.00802623
0	13	Box-221	0	-1.10696	6768.05	-2.23485	-0.000314653	-0.1	-0.00140075	0.000333607	30.7956	0.215513	30.7956	0	7.05834e-07	14.6945	14.5888	-0.0462307	-14.6926	-0.205806	-0.00314621	-0.999897	-0.0140061
0	13	Box-220	0	-1.49497	6672.05	-3.55612	-0.000579175	-0.1	-0.00130406	0.000333607	31.1159	0.21782	31.1159	0	0	14.6257	14.5201	-0.0846978	-14.6239	-0.190703	-0.00579117	-0.999898	-0.0130392
0	13	Box-219	0	-2.07398	6576.05	-4.92086	-0.000692603	-0.1	-0.00162688	0.000333625	31.4361	0.220136	31.4361	0	0	14.5657	14.46	-0.100864	-14.563	-0.236924	-0.00692495	-0.999844	-0.0162663
0	13	Box-218	0	-2.82292	6480.05	-6.53589	-0.000806616	-0.1	-0.00182091	0.000333639	31.7564	0.222466	31.7564	0	0	14.4779	14.3723	-0.116755	-14.4747	-0.263571	-0.00806456	-0.999802	-0.0182055
0	13	Box-217	0	-3.47112	6384.05	-8.44464	-0.000524775	-0.1	-0.0021596	0.000333655	32.0767	0.224808	32.0767	0	0	14.4001	14.2945	-0.0755475	-14.3962	-0.3109	-0.00524645	-0.999753	-0.0215907
0	13	Box-216	0	-3.96051	6288.05	-10.6461	-0.000462453	-0.1	-0.00245715	0.000333677	32.397	0.227167	32.397	0	0	14.2955	14.1898	-0.0660874	-14.2906	-0.351142	-0.00462308	-0.999688	-0.0245638
0	13	Box-215	0	-4.40431	6192.05	-13.1384	-0.000473603	-0.1	-0.00276274	0.000333704	32.7174	0.229538	32.7174	0	1.96683e-08	14.2309	14.1252	-0.0673697	-14.2249	-0.392998	-0.00473418	-0.999607	-0.0276166
0	13	Box-214	0	-4.87823	6096.05	-15.7415	-0.000549321	-0.1	-0.00265977	0.000333696	33.0377	0.231921	33.0377	0	0	14.1618	14.0561	-0.0777629	-14.1562	-0.376522	-0.00549119	-0.999631	-0.0265879
0	13	Box-213	0	-5.50035	6000.05	-18.2808	-0.000832317	-0.1	-0.00269494	0.000333706	33.3581	0.234316	33.3581	0	0	14.0881	13.9824	-0.117208	-14.0821	-0.379505	-0.00831986	-0.999602	-0.0269387
0	13	Box-212	0	-6.27972	5904.05	-20.8947	-0.000777582	-0.1	-0.00275288	0.00033371	33.6784	0.236722	33.6784	0	1.00154e-07	14.0256	13.9199	-0.109013	-14.0194	-0.385939	-0.00777264	-0.999591	-0.0275176
0	13	Box-211	0	-7.09294	5808.05	-23.6707	-0.000884896	-0.1	-0.0029432	0.000333731	33.9988	0.239158	33.9988	0	0	13.7456	13.64	-0.121573	-13.7387	-0.404358	-0.00884478	-0.999528	-0.0294181
0	13	Box-210	0	-7.88994	5712.05	-26.5232	-0.000723207	-0.1	-0.00291916	0.000333725	34.3192	0.241625	34.3192	0	0	13.6741	13.5685	-0.0988446	-13.6675	-0.398977	-0.0072288	-0.999548	-0.0291784
0	13	Box-209	0	-8.61748	5616.05	-29.3807	-0.000781044	-0.1	-0.00298328	0.000333733	34.6396	0.244106	34.6396	0	2.4263e-08	13.5978	13.4921	-0.106151	-13.5909	-0.405456	-0.00780672	-0.999525	-0.0298186
0	13	Box-208	0	-9.41484	5520.05	-32.3379	-0.000965945	-0.1	-0.00325148	0.000333766	34.96	0.246602	34.96	0	0	13.5144	13.4088	-0.130463	-13.5063	-0.439154	-0.0096539	-0.999425	-0.0324961
0	13	Box-207	0	-10.4498	5424.05	-35.5957	-0.00133074	-0.1	-0.00364691	0.000333826	35.2804	0.249114	35.2804	0	0	13.4331	13.3274	-0.178618	-13.4225	-0.489508	-0.0132973	-0.999247	-0.0364416
0	13	Box-206	0	-11.5285	5328.05	-39.1985	-0.000826365	-0.1	-0.00391343	0.000333841	35.6009	0.251643	35.6009	0	0	13.3151	13.2095	-0.10994	-13.3041	-0.520645	-0.00825705	-0.999201	-0.039103
0	13	Box-205	0	-12.2795	5232.05	-42.9809	-0.000860571	-0.1	-0.00397109	0.00033385	35.9214	0.254191	35.9214	0	0	13.2466	13.1409	-0.113899	-13.2352	-0.525583	-0.00859862	-0.999176	-0.0396781
0	13	Box-204	0	-13.161	5136.05	-46.9147	-0.000910159	-0.1	-0.00422691	0.000333886	36.2419	0.256754	36.2419	0	0	13.1706	13.0649	-0.119758	-13.1579	-0.556172	-0.0090931	-0.999067	-0.0422296
0	13	Box-203	0	-14.1171	5040.05	-51.0269	-0.00106054	-0.1	-0.00426334	0.000333897	36.5624	0.259331	36.5624	0	0	13.1091	13.0035	-0.138889	-13.0961	-0.55833	-0.0105952	-0.999036	-0.0425923
0	13	Box-202	0	-15.1499	4944.05	-55.1699	-0.00119897	-0.1	-0.00437944	0.000333919	36.883	0.26194	36.883	0	0	12.9095	12.8038	-0.154561	-12.8957	-0.564869	-0.0119731	-0.99897	-0.0437577
0	13	Box-201	0	-16.2742	4848.05	-59.5014	-0.00108024	-0.1	-0.00463104	0.000333952	37.2036	0.264569	37.2036	0	3.97341e-08	12.8433	12.7376	-0.138577	-12.8284	-0.594087	-0.0107902	-0.998871	-0.0462581
0	13	Box-200	0	-17.4165	4752.05	-64.0662	-0.00155676	-0.1	-0.0048379	0.000334006	37.5242	0.26721	37.5242	0	0	12.7786	12.6729	-0.198669	-12.7617	-0.617397	-0.0155475	-0.998711	-0.0483167
0	13	Box-199	0	-18.9744	4656.05	-68.7968	-0.00169545	-0.1	-0.00504365	0.000334048	37.8448	0.269869	37.8448	0	0	12.6761	12.5705	-0.214607	-12.6578	-0.638415	-0.0169306	-0.998587	-0.0503653
0	13	Box-198	0	-20.6069	4560.05	-73.7079	-0.00171623	-0.1	-0.00511999	0.000334062	38.1655	0.272545	38.1655	0	0	12.6099	12.5043	-0.216093	-12.5912	-0.644666	-0.0171374	-0.998545	-0.0511255
