eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	13	Box-208	0	19.95	5519.95	19.95	0.100004	0.1	0.100005	0.000577959	0.115877	0.00298208	0.115877	0	6.7356e-08	4.10565	3.99999	2.36963	2.36954	2.36966	0.577355	0.577333	0.577363
0	13	Box-209	0	114.888	5615.95	115.824	0.0984069	0.1	0.099871	0.000574651	0.668424	0.0173927	0.668424	0	1.83602e-08	3.988	3.88234	2.27802	2.31489	2.31191	0.571418	0.580668	0.579919
0	13	Box-210	0	210.567	5711.95	213.177	0.100371	0.1	0.103384	0.000585267	1.22529	0.0323601	1.22529	0	0	3.85829	3.75263	2.20712	2.19897	2.2734	0.572262	0.570149	0.589445
0	13	Box-211	0	307.445	5807.95	310.886	0.037108	0.0363985	0.0364195	0.000211792	1.78479	0.0478699	1.78479	0	0	3.74735	3.64169	2.19009	2.14824	2.14943	0.584669	0.573497	0.573814
0	13	Box-211	0	307.482	5807.99	310.922	0.0648404	0.0636015	0.0636366	0.000370073	1.78516	0.0478803	1.78516	0	3.36611e-08	3.74735	3.64169	2.19009	2.14824	2.14943	0.584669	0.573497	0.573814
0	13	Box-212	0	405.365	5903.95	408.752	0.10105	0.1	0.104417	0.00058863	2.34737	0.0639757	2.34737	0	0	3.62272	3.51706	2.07448	2.05292	2.14359	0.572875	0.56692	0.591959
0	13	Box-213	0	503.84	5999.95	510.198	0.103206	0.1	0.105759	0.000595444	2.91768	0.0808684	2.91768	0	0	3.49922	3.39357	2.0231	1.96024	2.07314	0.57842	0.56045	0.592729
0	13	Box-214	0	604.112	6095.95	613.769	0.106215	0.1	0.107798	0.000605344	3.49571	0.0985579	3.49571	0	7.40274e-08	3.38824	3.28258	1.98306	1.86703	2.01263	0.585563	0.551301	0.594292
0	13	Box-215	0	708.128	6191.95	721.419	0.110471	0.1	0.117374	0.000633067	4.08928	0.117646	4.08928	0	0	3.19942	3.09376	1.86229	1.68578	1.97867	0.582389	0.527189	0.618784
0	13	Box-216	0	815.082	6287.95	836.076	0.113716	0.1	0.124066	0.000653386	4.70293	0.138195	4.70293	0	7.07349e-08	3.07635	2.9707	1.78594	1.57053	1.9485	0.58088	0.510818	0.633753
0	13	Box-217	0	923.987	6383.95	955.881	0.111534	0.1	0.124929	0.000651064	5.33118	0.160259	5.33118	0	0	2.92298	2.81732	1.67027	1.49755	1.87088	0.571801	0.512672	0.640477
0	13	Box-218	0	1029.17	6479.95	1073.26	0.108551	0.1	0.121189	0.000637469	5.94719	0.182982	5.94719	0	0	2.79556	2.6899	1.5879	1.46282	1.77278	0.568414	0.523638	0.634594
0	13	Box-219	0	1136.73	6575.95	1192.33	0.119511	0.1	0.12675	0.00067056	6.57146	0.207145	6.57146	0	2.87119e-08	2.65281	2.54715	1.57709	1.31962	1.67261	0.594969	0.497837	0.631007
0	13	Box-220	0	1250.6	6671.95	1313.68	0.118118	0.1	0.126961	0.000668307	7.21283	0.233243	7.21283	0	4.53029e-08	2.5197	2.41404	1.48549	1.25763	1.59669	0.590068	0.499557	0.634242
0	13	Box-221	0	1363.65	6767.95	1434.22	0.114406	0.1	0.122791	0.000652303	7.85094	0.260736	7.85094	0	0	2.37489	2.26923	1.38938	1.21443	1.49121	0.585609	0.511871	0.62853
0	13	Box-222	0	1472.5	6863.95	1558.12	0.112356	0.1	0.134746	0.000674354	8.48834	0.289825	8.48834	0	8.12e-08	2.23955	2.13389	1.24465	1.10778	1.49268	0.556379	0.495194	0.667252
0	13	Box-223	0	1583.19	6959.95	1694.29	0.118986	0.1	0.150883	0.000723486	9.15652	0.322459	9.15652	0	0	2.08837	1.98271	1.14565	0.962844	1.45276	0.54929	0.461643	0.696539
0	13	Box-224	0	1700.23	7055.95	1836.67	0.123704	0.1	0.14364	0.000715974	9.8508	0.358847	9.8508	0	0	1.93996	1.8343	1.11805	0.903805	1.29822	0.577181	0.466581	0.670197
