eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	13	Box-224	0	0.0675535	7056.05	-0.00242577	0.00018833	-0.1	3.21868e-05	0.000333602	9.82138	0.146067	9.82138	0	0	7.03873	6.93307	0.0132545	-7.03792	0.00226528	0.0018833	-0.999998	0.000321868
0	13	Box-223	0	0.0843365	6960.05	-0.199769	-0.000608421	-0.1	-0.000315413	0.00033361	10.1416	0.150894	10.1416	0	0	6.9623	6.85665	-0.0423542	-6.96134	-0.0219569	-0.00608406	-0.999977	-0.00315405
0	13	Box-222	0	-0.307841	6864.05	-0.712522	-0.000251336	-0.1	-0.000713143	0.000333613	10.4619	0.155776	10.4619	0	0	6.88924	6.78358	-0.0173126	-6.88823	-0.0491229	-0.00251329	-0.999971	-0.00713122
0	13	Box-221	0	-0.56514	6768.05	-1.62279	-0.000267901	-0.1	-0.00101688	0.000333623	10.7822	0.160702	10.7822	0	8.86604e-08	6.82849	6.72283	-0.0182904	-6.8273	-0.0694256	-0.00267886	-0.999945	-0.0101683
0	13	Box-220	0	-0.960107	6672.05	-2.97546	-0.000393174	-0.1	-0.00177939	0.00033366	11.1025	0.165679	11.1025	0	0	6.76207	6.65641	-0.0265791	-6.76013	-0.120289	-0.00393109	-0.999834	-0.017791
0	13	Box-219	0	-1.1898	6576.05	-4.84283	-0.000159283	-0.1	-0.00194411	0.00033367	11.4228	0.170714	11.4228	0	8.88062e-09	6.65509	6.54944	-0.0105971	-6.65299	-0.129342	-0.00159252	-0.99981	-0.0194374
0	13	Box-218	0	-1.43907	6480.05	-6.83428	-0.000571879	-0.1	-0.00207988	0.000333685	11.7431	0.175811	11.7431	0	2.62067e-07	6.59237	6.48671	-0.0376868	-6.58999	-0.137064	-0.00571746	-0.999767	-0.020794
0	13	Box-217	0	-2.12786	6384.05	-8.89819	-0.000898678	-0.1	-0.00217154	0.0003337	12.0635	0.180972	12.0635	0	0	6.51729	6.41164	-0.0585456	-6.51464	-0.141468	-0.0089843	-0.999724	-0.0217094
0	13	Box-216	0	-3.27709	6288.05	-11.0028	-0.00156206	-0.1	-0.00221433	0.000333731	12.3838	0.186191	12.3838	0	6.85871e-08	6.44589	6.34023	-0.100638	-6.44266	-0.142662	-0.0156148	-0.999633	-0.0221352
0	13	Box-215	0	-4.59928	6192.05	-13.0741	-0.00121486	-0.1	-0.0021762	0.000333714	12.7042	0.191468	12.7042	0	0	6.37746	6.2718	-0.0774424	-6.37461	-0.138724	-0.0121448	-0.99969	-0.0217552
0	13	Box-214	0	-5.96132	6096.05	-15.386	-0.00122178	-0.1	-0.00280584	0.000333767	13.0246	0.1968	13.0246	0	0	6.3112	6.20554	-0.077062	-6.30736	-0.176974	-0.0122121	-0.999532	-0.0280452
0	13	Box-213	0	-7.14815	6000.05	-18.3015	-0.00102863	-0.1	-0.00319564	0.0003338	13.3451	0.202188	13.3451	0	4.47703e-08	6.24458	6.13893	-0.0641884	-6.24017	-0.199414	-0.0102805	-0.999437	-0.0319384
0	13	Box-212	0	-7.83461	5904.05	-21.4777	-0.000544286	-0.1	-0.00341896	0.000333814	13.6655	0.207663	13.6655	0	0	6.13064	6.02498	-0.0333433	-6.12606	-0.209448	-0.0054396	-0.999401	-0.0341691
0	13	Box-211	0	-8.37981	5808.05	-24.9812	-0.000578146	-0.1	-0.00400637	0.000333888	13.986	0.213207	13.986	0	0	6.06694	5.96128	-0.0350418	-6.06106	-0.242828	-0.00577673	-0.999182	-0.0400309
0	13	Box-210	0	-8.9083	5712.05	-28.8774	-9.19979e-05	-0.1	-0.00366801	0.000333841	14.3065	0.218838	14.3065	0	0	5.96272	5.85706	-0.00548103	-5.95777	-0.218532	-0.000919361	-0.999328	-0.0366554
0	13	Box-209	0	-8.9927	5616.05	-32.4572	-4.18794e-05	-0.1	-0.00355652	0.000333829	14.627	0.224542	14.627	0	0	5.89712	5.79146	-0.00246772	-5.89244	-0.209566	-0.000418529	-0.999368	-0.0355427
0	13	Box-208	0	-8.78504	5520.05	-36.0056	0.000876766	-0.1	-0.00393524	0.00033389	14.9475	0.230301	14.9475	0	0	5.83292	5.72726	0.0510911	-5.82723	-0.229315	0.00876054	-0.999188	-0.0393205
